"Date","Symbol","Name","Signal","Score","Entry Price","Target","Stop Loss","Status","PnL","PnL %","Days Held","Reason"
"2026-06-16","MOTILALOFS","Motilal Oswal Financial","BUY","75","944.5","986.77","906.89","overdue","23.75","2.51","17","Outperforming Nifty by +5.8% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly | Closed overdue: max hold exceeded (mark-to-market at last price)."
"2026-06-23","GNFC","Gujarat Narmada Valley","BUY","80","559.75","584.8","537.46","sl_hit","-22.29","-3.98","9","Outperforming Nifty by +5.1% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","DELHIVERY","Delhivery","BUY","78","476.45","497.77","457.47","target_hit","21.32","4.47","9","Outperforming Nifty by +6.3% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-06-23","RATNAMANI","Ratnamani Metals","BUY","82","2740.4","2863.03","2631.26","sl_hit","-109.14","-3.98","7","Outperforming Nifty by +6.1% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","METROPOLIS","Metropolis Healthcare","BUY","75","548.15","572.68","532.94","sl_hit","-15.21","-2.77","7","Outperforming Nifty by +2.3% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","BERGEPAINT","Berger Paints","BUY","88","549.45","570.7","524.5","sl_hit","-24.95","-4.54","7","Outperforming Nifty by +7.7% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","VOLTAMP","Voltamp Transformers","STRONG BUY","77","10572","11045.1","10150.97","sl_hit","-421.03","-3.98","7","Outperforming Nifty by +7.0% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","ERIS","Eris Lifesciences","STRONG BUY","83","1461","1526.38","1402.82","sl_hit","-58.18","-3.98","7","Outperforming Nifty by +6.8% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","GRSE","Garden Reach Shipbuilders","BUY","80","2849.3","2927.6","2708.18","sl_hit","-141.12","-4.95","7","Outperforming Nifty by +5.9% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-06-23","DRREDDY","Dr Reddys Labs","BUY","75","1301.3","1364.06","1277.48","target_hit","62.76","4.82","7","Outperforming Nifty by +2.6% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: Market reversal could invalidate setup — honour stop loss strictly"
